번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
1041,US,Global command interface for a hybrid display,B2,Google LLC,Google,2016-12-15,2016,12,2019-06-11,2019,908,2~3년,1,1~5항,G06F3/14|G09G3/00|G09G5/00|G09G5/12|G02B27/01|G06T19/00,"['G06F', 'G09G', 'G09G', 'G09G', 'G02B', 'G06T']",6,G06F3/1446|G09G3/003|G09G5/006|G09G2300/023|G09G2320/0247|G09G2320/0626|G09G2320/0686|G09G2340/0407|G09G2352/00|G09G2370/18|G02B27/017|G02B2027/014|G02B2027/0187|G06F3/1423|G09G5/12|G09G2320/0666|G06T19/006,17,"['디스플레이(Display)', '광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']",A hybrid display includes a first display having a first interface and a second display having a second interface. A third interface is configured to receive a first command that includes a first value indicating a modification of pixels in the hybrid display. A finite state machine is configured to translate the first value to a second value indicating a modification of pixels in the first display and a third value indicating a modification of pixels in the second display. The first interface transmits a second command including the second value to the first interface and a third command including the third value to the second interface. The first and second commands are transmitted at times determined by a relative delay between the first display and the second display.,782,9.2,,15380171
1042,US,Airflow in augmented and/or virtual reality head mounted display device,B1,Google LLC,Google,2018-03-05,2018,3,2019-04-16,2019,407,1~2년,1,1~5항,H05K5/00|G06F1/20|G06F1/16|H05K7/20,"['H05K', 'G06F', 'G06F', 'H05K']",4,G02B27/0176|G06F1/203|G06F1/163|G06F1/20|H05K7/20209|H05K7/20145|H05K7/20154|H05K7/20972,8,"['전자부품(Electronics)', '컴퓨팅/인터페이스(Computing)']","A head mounted display device may include a housing, including a user-facing cavity and an electronics compartment. At least one fan may be installed in the electronics compartment. A plurality of intake ports may be defined in a peripheral wall portion of the user-facing cavity, and at least one air discharge port may be defined in a wall portion of the electronics compartment. A plurality of air channels may extend between the user-facing cavity and the electronics compartment. Operation of the at least one fan may draw external air into the housing through the plurality of air intake ports into the user?facing cavity, and into the electronics compartment through the plurality of air channels, for discharge from the housing through the at least one discharge port, to provide cooling of the user-facing cavity and the electronics compartment.",854,5,,15911866
1043,US,Graphical interface having adjustable borders,B2,Google LLC,Google,2014-05-27,2014,5,2018-09-04,2018,1561,3~5년,1,1~5항,G06F3/048|G06F3/01|G02B27/01|G06F3/0481,"['G06F', 'G06F', 'G02B', 'G06F']",4,G06F3/012|G06F3/013|G02B27/017|G06F3/0481,4,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Methods and systems involving navigation of a graphical interface are disclosed herein. An example system may be configured to: (a) cause a head-mounted display (HMD) to provide a graphical interface, the graphical interface comprising (i) a view port having a view-port orientation and (ii) at least one navigable area having at least one border, the at least one border having a first border orientation; (b) receive input data that indicates movement of the view port towards the at least one border; (c) determine that the view-port orientation is within a predetermined threshold distance from the first border orientation; and (d) based on at least the determination that the view-port orientation is within a predetermined threshold distance from the first border orientation, adjust the first border orientation from the first border orientation to a second border orientation.",885,3.6,,14288033
1044,US,Determining micro-climates based on weather-related sensor data from mobile devices,B2,Google Technology Holdings LLC,Google,2014-05-21,2014,5,2017-09-26,2017,1224,3~5년,1,1~5항,G06N5/02|G06F17/00|G01W1/10|G01W1/00,"['G06N', 'G06F', 'G01W', 'G01W']",4,G01W1/10|G06N5/046|G01W2001/006,3,"['AI/비전(AI)', '컴퓨팅/인터페이스(Computing)']","Certain example implementations of the disclosed technology can include techniques and apparatuses for determining micro-climates based on weather-related sensor data from mobile devices. In some embodiments, current and projected micro-climates can be determined for multiple micro-locations. With micro-climate information, a user may better plan his or her day, including what to wear, which path to walk to work, and what activities to plan.",445,3.2,,14283438
1045,US,Password management,B2,Google LLC,Google,2013-05-08,2013,5,2018-05-22,2018,1840,5년 초과,1,1~5항,H04L9/32|G06F21/32|G06F3/01|H04L29/06|H04W12/06,"['H04L', 'G06F', 'G06F', 'H04L', 'H04W']",5,G06F21/32|G06F3/013|H04L63/0853|H04L63/0861|H04W12/06|G06F21/36|H04L9/3231|H04W12/77|H04W12/33,9,['컴퓨팅/인터페이스(Computing)'],"Methods, apparatus, and computer-readable media are described herein related to biometric authentication. A first computing device can detect a machine-readable code displayed by a second computing device, where the machine-readable code can identify protected information viewable via the second computing device. In response to detecting the machine-readable code, the first computing device can acquire biometric data via one or more biometric sensors associated with the first computing device. Based at least in part on the biometric data, the first computing device can generate an authentication message that includes authentication information and identifies the protected information. The first computing device can then send the authentication message to an authentication server for verification of the authentication information, where verification of the authentication information can allow access to the protected information via the second computing device.",973,5.9,,13889872
1046,US,Measurement method and system,B2,Google LLC,Google,2016-09-06,2016,9,2018-04-24,2018,595,1~2년,1,1~5항,G02B27/14|G02B1/00|G02B27/00|A61B3/113|G02B27/01|G06F3/01|H04H60/33|H04H60/46|G06K9/00|G06Q30/02,"['G02B', 'G02B', 'G02B', 'A61B', 'G02B', 'G06F', 'H04H', 'H04H', 'G06K', 'G06Q']",10,G06F3/013|H04H60/33|H04H60/46|G02B2027/0138|G02B2027/014|G02B2027/0187|G02B27/017|G06K9/00597|G02B27/0093|G06K9/00604|G06Q30/0254|G06V40/19|G06V40/18|G02B27/14|A61B3/113|G02B2027/0178|A61B2503/12|G02B27/0172,18,"['바이오/웨어러블(Bio)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Methods and systems for determining an individual gaze value are disclosed herein. An exemplary method involves: (a) receiving gaze data for a first wearable computing device, wherein the gaze data is indicative of a wearer-view associated with the first wearable computing device, and wherein the first wearable computing device is associated with a first user-account; (b) analyzing the gaze data from the first wearable computing device to detect one or more occurrences of one or more advertisement spaces in the gaze data; (c) based at least in part on the one or more detected advertisement-space occurrences, determining an individual gaze value for the first user-account; and (d) sending a gaze-value indication, wherein the gaze-value indication indicates the individual gaze value for the first user-account.",819,11.6,,15257732
1047,US,HEAD-WORN AUGMENTED REALITY DISPLAY,A1,GOOGLE LLC,Google,2018-10-01,2018,10,,,,미등록(A1 등),1,1~5항,G02B27/01|G02B27/09,"['G02B', 'G02B']",2,G02B2027/0116|G02B2027/0132|G02B27/0172|G02B27/0176|G02B2027/013|G02B27/0944|G02B27/0977,7,['광학부품(Optics)'],"Systems, devices, and apparatuses for a head-worn augmented reality display are provided. An example head-mounted display device includes a frame, a combiner, and a microdisplay device. The frame may have a structure that is configured to be worn by a user. The combiner may be attached to the frame and may include a curved transparent structure having a reflective surface. The microdisplay device may be attached to the frame and configured to, when the frame is worn by the user, emit image content that crosses in front of the user's face and intersects with the reflective surface of the combiner. Example combiners may have a positive wrap angle.",653,3.7,,16148670
1048,US,Scripting cross-device wearable interaction,B2,Google LLC,Google,2015-09-21,2015,9,2018-09-11,2018,1086,2~3년,1,1~5항,G06F3/041|G06F3/0488|G06F1/16,"['G06F', 'G06F', 'G06F']",3,G06F1/163|G06F3/0416|G06F3/0488|G06F3/0412,4,['컴퓨팅/인터페이스(Computing)'],"Methods and apparatus for an interaction system specifying cross-device interaction are provided. The interaction system provides application program interfaces (APIs) and a scripting environment that allow development of scripts that combine user input and sensing events and distribute output and across devices to create a range of rich cross-device behaviors with minimal development. The interaction system includes an integrated environment for developers to author and test cross-device behaviors. When a script is ready, the script can be deployed on a network of mobile and wearable computing devices using the interaction system's runtime environment. An evaluation of the interaction system with twelve participants revealed that the interaction system significantly reduced developer effort for creating and iterating on cross-device behaviors. The interaction system allowed developers to focus on target interaction behaviors and high-level device capabilities, rather than low-level specifications.",1013,3.1,,14860669
1049,US,Methods and systems for hands-free browsing in a wearable computing device,B2,Google LLC,Google,2016-08-16,2016,8,2018-10-30,2018,805,2~3년,1,1~5항,G06F3/00|G06F3/01|G06F3/0482|G02B27/01|G06F3/0346,"['G06F', 'G06F', 'G06F', 'G02B', 'G06F']",5,G06F3/017|G02B27/0172|G02B27/0179|G02B2027/014|G02B2027/0178|G02B2027/0187|G06F3/012|G06F3/013|G06F3/0346|G06F3/0482|G06F2203/04806,11,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Methods and systems for hands-free browsing in a wearable computing device are provided. A wearable computing device may provide for display a view of a first card of a plurality of cards which include respective virtual displays of content. The wearable computing device may determine a first rotation of the wearable computing device about a first axis and one or more eye gestures. Based on a combination of the first rotation and the eye gestures, the wearable computing device may provide for display the navigable menu, which may include an alternate view of the first card and at least a portion of one or more cards. Then, based on a determined second rotation of the wearable computing device about a second axis and based on a direction of the second rotation, the wearable computing device may generate a display indicative of navigation through the navigable menu.",876,6.6,,15238135
1050,US,Preparation of image capture device in response to pre-image-capture signal,B2,Google LLC,Google,2015-11-25,2015,11,2018-05-08,2018,895,2~3년,1,1~5항,H04N5/222|H04N5/369|G02B27/01|G06F3/01|G06F3/16|G06T19/00,"['H04N', 'H04N', 'G02B', 'G06F', 'G06F', 'G06T']",6,G02B2027/0138|H04N5/3698|G02B2027/014|G02B27/017|G02B2027/0178|H04N25/709|G06F3/013|G06F3/167|G06T19/006,9,"['영상/음향전송(AV)', '광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","Embodiments may be implemented by a computing device, such as a head-mountable display or mobile phone, in order to pre-emptively warm up the device's camera, when it is probable that a user will be taking a photo. An illustrative method involves a computing device (a) receiving sensor data from one or more sensors associated with the computing device, wherein the computing device comprises an image-capture device, (b) analyzing the sensor data to detect at least one pre-image-capture signal, wherein the at least one pre-image-capture signal indicates a subsequent image-capture signal is likely to be received, and (c) in response to detecting the at least one pre-image-capture signal, causing the computing device to initiate an image-capture preparation process that prepares the image-capture device to capture an image.",831,6.4,,14952538
